Iteration	Cost
0	11.1625748384
1	9.16263732899
2	8.55407316927
3	8.26296146839
4	8.10813831764
5	8.01662973634
6	7.95647401135
7	7.91305203878
8	7.8794117991
9	7.85208964822
10	7.82924721218
11	7.80982400002
12	7.79314621376
13	7.77874338359
14	7.76626060192
15	7.75541512053
16	7.74597376635
17	7.73774029895
18	7.73054765494
19	7.72425270888
20	7.71873242197
21	7.71388082737
22	7.70960657068
23	7.70583085298
24	7.70248568579
25	7.69951239897
26	7.69686035928
27	7.69448586746
28	7.69235120765
29	7.69042382759
30	7.68867563134
31	7.68708236907
32	7.68562311033
33	7.68427978957
34	7.68303681386
35	7.68188072433
36	7.68079990399
37	7.6797843255
38	7.67882533356
39	7.67791545703
40	7.67704824678
41	7.67621813581
42	7.67542031841
43	7.67465064597
44	7.67390553699
45	7.67318189944
46	7.67247706374
47	7.67178872493
48	7.67111489275
49	7.67045384854
50	7.66980410807
51	7.66916438942
52	7.66853358531
53	7.6679107392
54	7.6672950246
55	7.66668572733
56	7.6660822301
57	7.66548399926
58	7.66489057338
59	7.6643015533
60	7.66371659368
61	7.66313539557
62	7.66255770012
63	7.66198328303
64	7.66141194987
65	7.660843532
66	7.66027788297
67	7.65971487558
68	7.65915439918
69	7.65859635742
70	7.65804066632
71	7.65748725256
72	7.65693605201
73	7.65638700851
74	7.65584007275
75	7.65529520133
76	7.654752356
77	7.65421150291
78	7.65367261203
79	7.65313565663
80	7.65260061283
81	7.65206745919
82	7.65153617643
83	7.65100674708
84	7.65047915528
85	7.64995338653
86	7.64942942752
87	7.64890726599
88	7.64838689054
89	7.64786829056
90	7.64735145611
91	7.64683637781
92	7.6463230468
93	7.64581145465
94	7.64530159332
95	7.64479345508
96	7.64428703251
97	7.64378231843
98	7.64327930586
99	7.64277798805
100	7.6422783584
101	7.64178041043
102	7.64128413784
103	7.64078953442
104	7.64029659404
105	7.63980531069
106	7.63931567844
107	7.63882769142
108	7.63834134381
109	7.63785662989
110	7.63737354395
111	7.63689208036
112	7.63641223351
113	7.63593399783
114	7.63545736782
115	7.63498233797
116	7.63450890283
117	7.63403705698
118	7.63356679502
119	7.63309811157
120	7.63263100129
121	7.63216545886
122	7.63170147898
123	7.63123905638
124	7.6307781858
125	7.63031886202
126	7.62986107982
127	7.629404834
128	7.62895011941
129	7.62849693089
130	7.62804526331
131	7.62759511154
132	7.62714647051
133	7.62669933512
134	7.62625370033
135	7.62580956109
136	7.62536691238
137	7.62492574918
138	7.62448606652
139	7.62404785942
140	7.62361112293
141	7.6231758521
142	7.62274204202
143	7.62230968779
144	7.62187878452
145	7.62144932733
146	7.62102131137
147	7.62059473181
148	7.62016958383
149	7.61974586261
150	7.61932356338
151	7.61890268135
152	7.61848321178
153	7.61806514991
154	7.61764849103
155	7.61723323043
156	7.61681936342
157	7.61640688531
158	7.61599579145
159	7.61558607719
160	7.61517773791
161	7.61477076898
