Iteration	Cost
214	10.8222494081
215	10.8207986252
216	10.8193488556
217	10.8179002061
218	10.8164527588
219	10.8150064081
220	10.8135612778
221	10.8121172268
222	10.8106742843
223	10.8092324871
224	10.8077916974
225	10.8063521154
226	10.804913627
227	10.8034761024
228	10.8020398189
229	10.8006046097
230	10.7991705201
231	10.7977377098
232	10.796305891
233	10.7948751179
234	10.7934455363
235	10.7920170803
236	10.7905896067
237	10.7891632941
238	10.7877381039
239	10.7863139998
240	10.7848910949
241	10.7834693603
242	10.7820485763
243	10.7806289949
244	10.7792103956
245	10.7777928997
246	10.7763765723
247	10.7749612766
248	10.7735471141
249	10.772133992
250	10.7707219515
251	10.7693109284
252	10.7679013294
253	10.766492596
254	10.7650848749
255	10.7636783044
256	10.7622726878
257	10.7608683412
258	10.7594650021
259	10.7580627257
260	10.7566614519
261	10.7552614243
262	10.7538623075
263	10.7524642741
264	10.7510674509
265	10.7496716226
266	10.748276887
267	10.7468831098
268	10.7454905525
269	10.7440989032
270	10.7427084623
271	10.7413190686
272	10.739930761
273	10.738543403
274	10.7371572382
275	10.7357719783
276	10.734387842
277	10.7330048351
278	10.7316227476
279	10.7302416615
280	10.7288616479
281	10.7274828537
282	10.7261050264
283	10.7247282819
284	10.7233526157
285	10.7219779469
286	10.7206043463
287	10.7192317943
288	10.7178603138
289	10.7164897418
290	10.7151204735
291	10.7137521241
292	10.7123848872
293	10.7110184579
294	10.7096530457
295	10.7082889596
296	10.7069257897
297	10.7055638025
298	10.7042027991
299	10.7028426619
300	10.7014837033
301	10.7001257482
302	10.6987689174
303	10.6974129237
304	10.6960580107
305	10.6947040958
306	10.693351166
307	10.6919993616
308	10.6906484666
309	10.6892986641
310	10.6879497942
311	10.6866021639
312	10.6852554029
313	10.683909707
314	10.6825649481
315	10.681221184
316	10.6798784875
317	10.6785368992
318	10.6771962754
319	10.6758567249
320	10.6745180462
321	10.6731805439
322	10.6718440249
323	10.6705082685
324	10.6691736044
325	10.6678400283
326	10.6665074383
327	10.665175891
328	10.6638451715
329	10.662515585
330	10.661187155
331	10.6598596476
332	10.6585330617
333	10.6572074097
334	10.6558829571
335	10.654559406
336	10.6532368757
337	10.6519152963
338	10.6505947591
339	10.649275038
340	10.647956406
341	10.6466388377
342	10.6453222907
343	10.6440066875
344	10.6426920033
345	10.6413783777
346	10.6400656351
